SampleID,HC343,HC345,HC348,HC354,HC361,HC363,HC364,HC367,HC370,HC374,HC376,HC383,HC384,HC387,HC388,HC389,HC391,HC392,HC394,HC396,HC455,HC456,HC465,HC466,HC467,HC511,HC515,HC524,HC525,HC537,HC538,HC539,HC543,HC551,HC609,HC618,HC628,HC638,HC696,HC716,HC720,HC721,HC722,HC733,HC769,HC770,HC773,HC778,HC786,KR00064,KR00065,KR00070,KR00080,KR00081,KR00085,KR00098,KR00099,KR00102,KR00105,KR00113,KR00144,KR00167,KR00168,KR00182,KR00192,KR00198,KR00199,KR00203,KR00211,KR00216,KR00219,KR00220,KR00235,KR00266,KR00270,KR00304,KR00305,KR00307,KR00308,KR00316,KR00349,KR00359,KR00361,KR00362,KR00364,KR00386,KR00388,KR00389,KR00402,KR00422,KR00423,KR00424,KR00448,KR00449,KR00450,KR00458,KR00488
d__Archaea;p__Thermoplasmatota;c__Thermoplasmata;o__Methanomassiliicoccales;f__Methanomethylophilaceae;g__Methanomethylophilus;s__Methanomethylophilus_alvi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.379753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Archaea;p__Thermoplasmatota;c__unclassified_Thermoplasmatota;o__unclassified_Thermoplasmatota;f__unclassified_Thermoplasmatota;g__Candidatus_Aciduliprofundum;s__Candidatus_Aciduliprofundum_boonei,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354851,0,0,0,0,0,0,0
d__Bacteria;p__unclassified_Bacteria;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Babeliaceae;g__Candidatus_Babela;s__Candidatus_Babela_massiliensis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351464,0,0,0,0,0,0,0,0,0,0.14877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__unclassified_Bacteria;c__Candidatus_Babeliae;o__Candidatus_Babeliales;f__Candidatus_Chromulinivoraceae;g__Candidatus_Chromulinivorax;s__Candidatus_Chromulinivorax_destructor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.354851,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Acidimicrobiaceae;g__Acidimicrobium;s__Acidimicrobium_ferrooxidans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Iamiaceae;g__Aquihabitans;s__Aquihabitans_sp._G128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0317357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__Ilumatobacteraceae;g__Ilumatobacter;s__Ilumatobacter_coccineus,0,0,0,0.040688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0315527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.476679,0,0,0,0,0,0,0,0,0,0,0,0.126768,0,0,0,0,0,0,0,0,0,0,0,0,1.4194,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_capricornis,0.0344663,0,0,0.122064,0,0,0.272069,0,0,0.180424,0,0,0,0,0,0,0,0,0,0,0.0705348,0,0,0,0,0,0,0,0,0,0.0634714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0283787,0,0,0,0,0.532983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329931,0,0,0,0,0,0.296177,0,0,0.185755,0,0,0.137724,0,0,0,0,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_howellii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169888,0,0.0655508,0,0,0,0.0443592,0,0,0,0,0.04247,0,0,0,0.0764306,0,0,0,0,0,0.0636025,0,0,0,0,0,0,0.10355,0,0,0,0,0,0,0,0,2.54517,0,0.3975,0,0,0,0,0,0.0842775,0,0,0,0,0,0,0,0,0,0,0.19559,0,0,0,0,0,0,0,0,0,0.0309591,0,0,0,0,0,1.4194,0.0627439,0,0,0,0,0,0
d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Actinomycetaceae;g__Actinomyces;s__Actinomyces_israelii,22.541,0,0,0.040688,0,0,1.68683,0,0,0,0,0.0968081,0,1.02037,0,0,0.0341283,10.3632,4.5622,0.655508,19.4676,0.0759221,0.186156,0.0887183,3.22976,1.70889,0.473291,0.650692,0.21235,0,1.26943,0,0.382153,0.291996,0,0.040051,0,0,0.0636025,0,0,0,1.40877,0,172.611,27.0267,233.334,0,0,0.104023,0,0.288947,0,0.0283787,4.68848,0.851307,0.3975,0,0.355322,0.0348352,0,0.147613,0.421387,0,1.90672,0,0,6.93199,0,0,0,0,0,0,2.17754,0,0,3.57062,0,0.167,5.33118,0,0.733286,0.619182,0,1.64319,0.206586,0.0688752,0,0,0,0,0,0,0.672855,0.13847,0
